OBJECTID,neighborhood,ucrDescription,number,reportMonth,reportYear
1,** NOT ASSIGNED **,Aggravated Assault,2,8,2017
2,** NOT ASSIGNED **,Arson,0,8,2017
3,** NOT ASSIGNED **,Auto Theft,3,8,2017
4,** NOT ASSIGNED **,Burglary,1,8,2017
5,** NOT ASSIGNED **,Homicide,0,8,2017
6,** NOT ASSIGNED **,Larceny,8,8,2017
7,** NOT ASSIGNED **,Rape,2,8,2017
8,** NOT ASSIGNED **,Robbery,1,8,2017
705,** NOT ASSIGNED **,Aggravated Assault,6,9,2017
706,** NOT ASSIGNED **,Arson,,9,2017
707,** NOT ASSIGNED **,Auto Theft,3,9,2017
708,** NOT ASSIGNED **,Burglary,3,9,2017
709,** NOT ASSIGNED **,Homicide,,9,2017
710,** NOT ASSIGNED **,Larceny,9,9,2017
711,** NOT ASSIGNED **,Rape,2,9,2017
712,** NOT ASSIGNED **,Robbery,1,9,2017
5633,** NOT ASSIGNED **,Aggravated Assault,,4,2018
5634,** NOT ASSIGNED **,Arson,,4,2018
5635,** NOT ASSIGNED **,Auto Theft,3,4,2018
5636,** NOT ASSIGNED **,Burglary,2,4,2018
5637,** NOT ASSIGNED **,Homicide,,4,2018
5638,** NOT ASSIGNED **,Larceny,4,4,2018
5639,** NOT ASSIGNED **,Rape,2,4,2018
5640,** NOT ASSIGNED **,Robbery,2,4,2018
2113,** NOT ASSIGNED **,Aggravated Assault,1,11,2017
2114,** NOT ASSIGNED **,Arson,,11,2017
2115,** NOT ASSIGNED **,Auto Theft,2,11,2017
2116,** NOT ASSIGNED **,Burglary,,11,2017
2117,** NOT ASSIGNED **,Homicide,,11,2017
2118,** NOT ASSIGNED **,Larceny,3,11,2017
2119,** NOT ASSIGNED **,Rape,1,11,2017
2120,** NOT ASSIGNED **,Robbery,1,11,2017
2817,** NOT ASSIGNED **,Aggravated Assault,1,12,2017
2818,** NOT ASSIGNED **,Arson,,12,2017
2819,** NOT ASSIGNED **,Auto Theft,1,12,2017
2820,** NOT ASSIGNED **,Burglary,,12,2017
2821,** NOT ASSIGNED **,Homicide,,12,2017
2822,** NOT ASSIGNED **,Larceny,7,12,2017
2823,** NOT ASSIGNED **,Rape,,12,2017
2824,** NOT ASSIGNED **,Robbery,,12,2017
1409,** NOT ASSIGNED **,Aggravated Assault,2,10,2017
1410,** NOT ASSIGNED **,Arson,,10,2017
1411,** NOT ASSIGNED **,Auto Theft,,10,2017
1412,** NOT ASSIGNED **,Burglary,,10,2017
1413,** NOT ASSIGNED **,Homicide,,10,2017
1414,** NOT ASSIGNED **,Larceny,14,10,2017
1415,** NOT ASSIGNED **,Rape,1,10,2017
1416,** NOT ASSIGNED **,Robbery,,10,2017
6337,** NOT ASSIGNED **,Aggravated Assault,2,5,2018
6338,** NOT ASSIGNED **,Arson,,5,2018
6339,** NOT ASSIGNED **,Auto Theft,2,5,2018
6340,** NOT ASSIGNED **,Burglary,,5,2018
6341,** NOT ASSIGNED **,Homicide,,5,2018
6342,** NOT ASSIGNED **,Larceny,7,5,2018
6343,** NOT ASSIGNED **,Rape,,5,2018
6344,** NOT ASSIGNED **,Robbery,1,5,2018
3521,** NOT ASSIGNED **,Aggravated Assault,,1,2018
3522,** NOT ASSIGNED **,Arson,,1,2018
3523,** NOT ASSIGNED **,Auto Theft,2,1,2018
3524,** NOT ASSIGNED **,Burglary,,1,2018
3525,** NOT ASSIGNED **,Homicide,,1,2018
3526,** NOT ASSIGNED **,Larceny,7,1,2018
3527,** NOT ASSIGNED **,Rape,1,1,2018
3528,** NOT ASSIGNED **,Robbery,3,1,2018
4225,** NOT ASSIGNED **,Aggravated Assault,3,2,2018
4226,** NOT ASSIGNED **,Arson,,2,2018
4227,** NOT ASSIGNED **,Auto Theft,3,2,2018
4228,** NOT ASSIGNED **,Burglary,,2,2018
4229,** NOT ASSIGNED **,Homicide,,2,2018
4230,** NOT ASSIGNED **,Larceny,4,2,2018
4231,** NOT ASSIGNED **,Rape,2,2,2018
4232,** NOT ASSIGNED **,Robbery,3,2,2018
4929,** NOT ASSIGNED **,Aggravated Assault,1,3,2018
4930,** NOT ASSIGNED **,Arson,,3,2018
4931,** NOT ASSIGNED **,Auto Theft,2,3,2018
4932,** NOT ASSIGNED **,Burglary,,3,2018
4933,** NOT ASSIGNED **,Homicide,,3,2018
4934,** NOT ASSIGNED **,Larceny,5,3,2018
4935,** NOT ASSIGNED **,Rape,,3,2018
4936,** NOT ASSIGNED **,Robbery,1,3,2018
9,ARMATAGE,Aggravated Assault,0,8,2017
10,ARMATAGE,Arson,0,8,2017
11,ARMATAGE,Auto Theft,1,8,2017
12,ARMATAGE,Burglary,3,8,2017
13,ARMATAGE,Homicide,0,8,2017
14,ARMATAGE,Larceny,7,8,2017
15,ARMATAGE,Rape,0,8,2017
16,ARMATAGE,Robbery,0,8,2017
713,ARMATAGE,Aggravated Assault,1,9,2017
714,ARMATAGE,Arson,,9,2017
715,ARMATAGE,Auto Theft,1,9,2017
716,ARMATAGE,Burglary,2,9,2017
717,ARMATAGE,Homicide,,9,2017
718,ARMATAGE,Larceny,9,9,2017
719,ARMATAGE,Rape,,9,2017
720,ARMATAGE,Robbery,,9,2017
5641,ARMATAGE,Aggravated Assault,1,4,2018
5642,ARMATAGE,Arson,,4,2018
5643,ARMATAGE,Auto Theft,,4,2018
5644,ARMATAGE,Burglary,1,4,2018
5645,ARMATAGE,Homicide,,4,2018
5646,ARMATAGE,Larceny,3,4,2018
5647,ARMATAGE,Rape,,4,2018
5648,ARMATAGE,Robbery,,4,2018
2121,ARMATAGE,Aggravated Assault,,11,2017
2122,ARMATAGE,Arson,,11,2017
2123,ARMATAGE,Auto Theft,,11,2017
2124,ARMATAGE,Burglary,3,11,2017
2125,ARMATAGE,Homicide,,11,2017
2126,ARMATAGE,Larceny,6,11,2017
2127,ARMATAGE,Rape,,11,2017
2128,ARMATAGE,Robbery,,11,2017
2825,ARMATAGE,Aggravated Assault,2,12,2017
2826,ARMATAGE,Arson,,12,2017
2827,ARMATAGE,Auto Theft,,12,2017
2828,ARMATAGE,Burglary,1,12,2017
2829,ARMATAGE,Homicide,,12,2017
2830,ARMATAGE,Larceny,13,12,2017
2831,ARMATAGE,Rape,,12,2017
2832,ARMATAGE,Robbery,,12,2017
8449,Armatage,Aggravated Assault,1,8,2018
8450,Armatage,Arson,0,8,2018
8451,Armatage,Auto Theft,1,8,2018
8452,Armatage,Burglary,2,8,2018
8453,Armatage,Homicide,0,8,2018
8454,Armatage,Larceny,5,8,2018
8455,Armatage,Rape,0,8,2018
8456,Armatage,Robbery,0,8,2018
1417,ARMATAGE,Aggravated Assault,,10,2017
1418,ARMATAGE,Arson,,10,2017
1419,ARMATAGE,Auto Theft,1,10,2017
1420,ARMATAGE,Burglary,1,10,2017
1421,ARMATAGE,Homicide,,10,2017
1422,ARMATAGE,Larceny,5,10,2017
1423,ARMATAGE,Rape,,10,2017
1424,ARMATAGE,Robbery,,10,2017
7041,Armatage,Aggravated Assault,0,6,2018
7042,Armatage,Arson,0,6,2018
7043,Armatage,Auto Theft,0,6,2018
7044,Armatage,Burglary,1,6,2018
7045,Armatage,Homicide,0,6,2018
7046,Armatage,Larceny,5,6,2018
7047,Armatage,Rape,0,6,2018
7048,Armatage,Robbery,0,6,2018
7745,Armatage,Aggravated Assault,0,7,2018
7746,Armatage,Arson,0,7,2018
7747,Armatage,Auto Theft,0,7,2018
7748,Armatage,Burglary,3,7,2018
7749,Armatage,Homicide,0,7,2018
7750,Armatage,Larceny,2,7,2018
7751,Armatage,Rape,0,7,2018
7752,Armatage,Robbery,0,7,2018
6345,ARMATAGE,Aggravated Assault,,5,2018
6346,ARMATAGE,Arson,,5,2018
6347,ARMATAGE,Auto Theft,,5,2018
6348,ARMATAGE,Burglary,,5,2018
6349,ARMATAGE,Homicide,,5,2018
6350,ARMATAGE,Larceny,4,5,2018
6351,ARMATAGE,Rape,,5,2018
6352,ARMATAGE,Robbery,,5,2018
3529,ARMATAGE,Aggravated Assault,,1,2018
3530,ARMATAGE,Arson,,1,2018
3531,ARMATAGE,Auto Theft,,1,2018
3532,ARMATAGE,Burglary,,1,2018
3533,ARMATAGE,Homicide,,1,2018
3534,ARMATAGE,Larceny,5,1,2018
3535,ARMATAGE,Rape,,1,2018
3536,ARMATAGE,Robbery,1,1,2018
4233,ARMATAGE,Aggravated Assault,,2,2018
4234,ARMATAGE,Arson,,2,2018
4235,ARMATAGE,Auto Theft,,2,2018
4236,ARMATAGE,Burglary,3,2,2018
4237,ARMATAGE,Homicide,,2,2018
4238,ARMATAGE,Larceny,5,2,2018
4239,ARMATAGE,Rape,,2,2018
4240,ARMATAGE,Robbery,,2,2018
4937,ARMATAGE,Aggravated Assault,1,3,2018
4938,ARMATAGE,Arson,,3,2018
4939,ARMATAGE,Auto Theft,,3,2018
4940,ARMATAGE,Burglary,1,3,2018
4941,ARMATAGE,Homicide,,3,2018
4942,ARMATAGE,Larceny,5,3,2018
4943,ARMATAGE,Rape,1,3,2018
4944,ARMATAGE,Robbery,,3,2018
17,AUDUBON PARK,Aggravated Assault,0,8,2017
18,AUDUBON PARK,Arson,1,8,2017
19,AUDUBON PARK,Auto Theft,2,8,2017
20,AUDUBON PARK,Burglary,4,8,2017
21,AUDUBON PARK,Homicide,0,8,2017
22,AUDUBON PARK,Larceny,13,8,2017
23,AUDUBON PARK,Rape,0,8,2017
24,AUDUBON PARK,Robbery,0,8,2017
721,AUDUBON PARK,Aggravated Assault,,9,2017
722,AUDUBON PARK,Arson,1,9,2017
723,AUDUBON PARK,Auto Theft,2,9,2017
724,AUDUBON PARK,Burglary,3,9,2017
725,AUDUBON PARK,Homicide,1,9,2017
726,AUDUBON PARK,Larceny,1,9,2017
727,AUDUBON PARK,Rape,1,9,2017
728,AUDUBON PARK,Robbery,,9,2017
5649,AUDUBON PARK,Aggravated Assault,,4,2018
5650,AUDUBON PARK,Arson,,4,2018
5651,AUDUBON PARK,Auto Theft,,4,2018
5652,AUDUBON PARK,Burglary,3,4,2018
5653,AUDUBON PARK,Homicide,,4,2018
5654,AUDUBON PARK,Larceny,5,4,2018
5655,AUDUBON PARK,Rape,,4,2018
5656,AUDUBON PARK,Robbery,,4,2018
2129,AUDUBON PARK,Aggravated Assault,,11,2017
2130,AUDUBON PARK,Arson,,11,2017
2131,AUDUBON PARK,Auto Theft,4,11,2017
2132,AUDUBON PARK,Burglary,9,11,2017
2133,AUDUBON PARK,Homicide,,11,2017
2134,AUDUBON PARK,Larceny,13,11,2017
2135,AUDUBON PARK,Rape,,11,2017
2136,AUDUBON PARK,Robbery,,11,2017
2833,AUDUBON PARK,Aggravated Assault,,12,2017
2834,AUDUBON PARK,Arson,,12,2017
2835,AUDUBON PARK,Auto Theft,2,12,2017
2836,AUDUBON PARK,Burglary,7,12,2017
2837,AUDUBON PARK,Homicide,,12,2017
2838,AUDUBON PARK,Larceny,8,12,2017
2839,AUDUBON PARK,Rape,,12,2017
2840,AUDUBON PARK,Robbery,2,12,2017
8457,Audubon Park,Aggravated Assault,1,8,2018
8458,Audubon Park,Arson,0,8,2018
8459,Audubon Park,Auto Theft,5,8,2018
8460,Audubon Park,Burglary,2,8,2018
8461,Audubon Park,Homicide,0,8,2018
8462,Audubon Park,Larceny,8,8,2018
8463,Audubon Park,Rape,1,8,2018
8464,Audubon Park,Robbery,0,8,2018
1425,AUDUBON PARK,Aggravated Assault,1,10,2017
1426,AUDUBON PARK,Arson,,10,2017
1427,AUDUBON PARK,Auto Theft,1,10,2017
1428,AUDUBON PARK,Burglary,15,10,2017
1429,AUDUBON PARK,Homicide,,10,2017
1430,AUDUBON PARK,Larceny,10,10,2017
1431,AUDUBON PARK,Rape,,10,2017
1432,AUDUBON PARK,Robbery,4,10,2017
7049,Audubon Park,Aggravated Assault,0,6,2018
7050,Audubon Park,Arson,0,6,2018
7051,Audubon Park,Auto Theft,3,6,2018
7052,Audubon Park,Burglary,2,6,2018
7053,Audubon Park,Homicide,0,6,2018
7054,Audubon Park,Larceny,7,6,2018
7055,Audubon Park,Rape,0,6,2018
7056,Audubon Park,Robbery,0,6,2018
7753,Audubon Park,Aggravated Assault,0,7,2018
7754,Audubon Park,Arson,0,7,2018
7755,Audubon Park,Auto Theft,1,7,2018
7756,Audubon Park,Burglary,1,7,2018
7757,Audubon Park,Homicide,0,7,2018
7758,Audubon Park,Larceny,12,7,2018
7759,Audubon Park,Rape,0,7,2018
7760,Audubon Park,Robbery,0,7,2018
6353,AUDUBON PARK,Aggravated Assault,2,5,2018
6354,AUDUBON PARK,Arson,,5,2018
6355,AUDUBON PARK,Auto Theft,2,5,2018
6356,AUDUBON PARK,Burglary,11,5,2018
6357,AUDUBON PARK,Homicide,,5,2018
6358,AUDUBON PARK,Larceny,6,5,2018
6359,AUDUBON PARK,Rape,1,5,2018
6360,AUDUBON PARK,Robbery,,5,2018
3537,AUDUBON PARK,Aggravated Assault,,1,2018
3538,AUDUBON PARK,Arson,,1,2018
3539,AUDUBON PARK,Auto Theft,5,1,2018
3540,AUDUBON PARK,Burglary,2,1,2018
3541,AUDUBON PARK,Homicide,,1,2018
3542,AUDUBON PARK,Larceny,7,1,2018
3543,AUDUBON PARK,Rape,,1,2018
3544,AUDUBON PARK,Robbery,,1,2018
4241,AUDUBON PARK,Aggravated Assault,,2,2018
4242,AUDUBON PARK,Arson,,2,2018
4243,AUDUBON PARK,Auto Theft,,2,2018
4244,AUDUBON PARK,Burglary,11,2,2018
4245,AUDUBON PARK,Homicide,,2,2018
4246,AUDUBON PARK,Larceny,3,2,2018
4247,AUDUBON PARK,Rape,,2,2018
4248,AUDUBON PARK,Robbery,,2,2018
4945,AUDUBON PARK,Aggravated Assault,,3,2018
4946,AUDUBON PARK,Arson,,3,2018
4947,AUDUBON PARK,Auto Theft,,3,2018
4948,AUDUBON PARK,Burglary,7,3,2018
4949,AUDUBON PARK,Homicide,,3,2018
4950,AUDUBON PARK,Larceny,11,3,2018
4951,AUDUBON PARK,Rape,0,3,2018
4952,AUDUBON PARK,Robbery,,3,2018
25,BANCROFT,Aggravated Assault,1,8,2017
26,BANCROFT,Arson,0,8,2017
27,BANCROFT,Auto Theft,1,8,2017
28,BANCROFT,Burglary,4,8,2017
29,BANCROFT,Homicide,0,8,2017
30,BANCROFT,Larceny,5,8,2017
31,BANCROFT,Rape,0,8,2017
32,BANCROFT,Robbery,0,8,2017
729,BANCROFT,Aggravated Assault,1,9,2017
730,BANCROFT,Arson,,9,2017
731,BANCROFT,Auto Theft,,9,2017
732,BANCROFT,Burglary,11,9,2017
733,BANCROFT,Homicide,,9,2017
734,BANCROFT,Larceny,1,9,2017
735,BANCROFT,Rape,,9,2017
736,BANCROFT,Robbery,3,9,2017
5657,BANCROFT,Aggravated Assault,,4,2018
5658,BANCROFT,Arson,,4,2018
5659,BANCROFT,Auto Theft,1,4,2018
5660,BANCROFT,Burglary,,4,2018
5661,BANCROFT,Homicide,,4,2018
5662,BANCROFT,Larceny,3,4,2018
5663,BANCROFT,Rape,,4,2018
5664,BANCROFT,Robbery,,4,2018
2137,BANCROFT,Aggravated Assault,1,11,2017
2138,BANCROFT,Arson,,11,2017
2139,BANCROFT,Auto Theft,2,11,2017
2140,BANCROFT,Burglary,5,11,2017
2141,BANCROFT,Homicide,,11,2017
2142,BANCROFT,Larceny,2,11,2017
2143,BANCROFT,Rape,,11,2017
2144,BANCROFT,Robbery,1,11,2017
2841,BANCROFT,Aggravated Assault,1,12,2017
2842,BANCROFT,Arson,,12,2017
2843,BANCROFT,Auto Theft,,12,2017
2844,BANCROFT,Burglary,6,12,2017
2845,BANCROFT,Homicide,,12,2017
2846,BANCROFT,Larceny,3,12,2017
2847,BANCROFT,Rape,,12,2017
2848,BANCROFT,Robbery,,12,2017
8465,Bancroft,Aggravated Assault,1,8,2018
8466,Bancroft,Arson,0,8,2018
8467,Bancroft,Auto Theft,0,8,2018
8468,Bancroft,Burglary,1,8,2018
8469,Bancroft,Homicide,0,8,2018
8470,Bancroft,Larceny,2,8,2018
8471,Bancroft,Rape,0,8,2018
8472,Bancroft,Robbery,0,8,2018
1433,BANCROFT,Aggravated Assault,2,10,2017
1434,BANCROFT,Arson,,10,2017
1435,BANCROFT,Auto Theft,1,10,2017
1436,BANCROFT,Burglary,8,10,2017
1437,BANCROFT,Homicide,,10,2017
1438,BANCROFT,Larceny,4,10,2017
1439,BANCROFT,Rape,,10,2017
1440,BANCROFT,Robbery,1,10,2017
7057,Bancroft,Aggravated Assault,2,6,2018
7058,Bancroft,Arson,0,6,2018
7059,Bancroft,Auto Theft,0,6,2018
7060,Bancroft,Burglary,0,6,2018
7061,Bancroft,Homicide,0,6,2018
7062,Bancroft,Larceny,5,6,2018
7063,Bancroft,Rape,1,6,2018
7064,Bancroft,Robbery,0,6,2018
7761,Bancroft,Aggravated Assault,0,7,2018
7762,Bancroft,Arson,0,7,2018
7763,Bancroft,Auto Theft,1,7,2018
7764,Bancroft,Burglary,3,7,2018
7765,Bancroft,Homicide,0,7,2018
7766,Bancroft,Larceny,2,7,2018
7767,Bancroft,Rape,0,7,2018
7768,Bancroft,Robbery,2,7,2018
6361,BANCROFT,Aggravated Assault,,5,2018
6362,BANCROFT,Arson,,5,2018
6363,BANCROFT,Auto Theft,2,5,2018
6364,BANCROFT,Burglary,3,5,2018
6365,BANCROFT,Homicide,,5,2018
6366,BANCROFT,Larceny,3,5,2018
6367,BANCROFT,Rape,,5,2018
6368,BANCROFT,Robbery,,5,2018
3545,BANCROFT,Aggravated Assault,,1,2018
3546,BANCROFT,Arson,,1,2018
3547,BANCROFT,Auto Theft,2,1,2018
3548,BANCROFT,Burglary,1,1,2018
3549,BANCROFT,Homicide,,1,2018
3550,BANCROFT,Larceny,2,1,2018
3551,BANCROFT,Rape,,1,2018
3552,BANCROFT,Robbery,,1,2018
4249,BANCROFT,Aggravated Assault,,2,2018
4250,BANCROFT,Arson,,2,2018
4251,BANCROFT,Auto Theft,,2,2018
4252,BANCROFT,Burglary,2,2,2018
4253,BANCROFT,Homicide,,2,2018
4254,BANCROFT,Larceny,2,2,2018
4255,BANCROFT,Rape,,2,2018
4256,BANCROFT,Robbery,,2,2018
4953,BANCROFT,Aggravated Assault,,3,2018
4954,BANCROFT,Arson,,3,2018
4955,BANCROFT,Auto Theft,,3,2018
4956,BANCROFT,Burglary,2,3,2018
4957,BANCROFT,Homicide,,3,2018
4958,BANCROFT,Larceny,4,3,2018
4959,BANCROFT,Rape,,3,2018
4960,BANCROFT,Robbery,,3,2018
33,BELTRAMI,Aggravated Assault,1,8,2017
34,BELTRAMI,Arson,0,8,2017
35,BELTRAMI,Auto Theft,0,8,2017
36,BELTRAMI,Burglary,0,8,2017
37,BELTRAMI,Homicide,0,8,2017
38,BELTRAMI,Larceny,2,8,2017
39,BELTRAMI,Rape,0,8,2017
40,BELTRAMI,Robbery,0,8,2017
737,BELTRAMI,Aggravated Assault,,9,2017
738,BELTRAMI,Arson,,9,2017
739,BELTRAMI,Auto Theft,,9,2017
740,BELTRAMI,Burglary,2,9,2017
741,BELTRAMI,Homicide,,9,2017
742,BELTRAMI,Larceny,2,9,2017
743,BELTRAMI,Rape,,9,2017
744,BELTRAMI,Robbery,,9,2017
5665,BELTRAMI,Aggravated Assault,1,4,2018
5666,BELTRAMI,Arson,,4,2018
5667,BELTRAMI,Auto Theft,,4,2018
5668,BELTRAMI,Burglary,,4,2018
5669,BELTRAMI,Homicide,,4,2018
5670,BELTRAMI,Larceny,2,4,2018
5671,BELTRAMI,Rape,,4,2018
5672,BELTRAMI,Robbery,,4,2018
2145,BELTRAMI,Aggravated Assault,,11,2017
2146,BELTRAMI,Arson,,11,2017
2147,BELTRAMI,Auto Theft,1,11,2017
2148,BELTRAMI,Burglary,1,11,2017
2149,BELTRAMI,Homicide,,11,2017
2150,BELTRAMI,Larceny,,11,2017
2151,BELTRAMI,Rape,,11,2017
2152,BELTRAMI,Robbery,1,11,2017
2849,BELTRAMI,Aggravated Assault,1,12,2017
2850,BELTRAMI,Arson,,12,2017
2851,BELTRAMI,Auto Theft,2,12,2017
2852,BELTRAMI,Burglary,,12,2017
2853,BELTRAMI,Homicide,,12,2017
2854,BELTRAMI,Larceny,1,12,2017
2855,BELTRAMI,Rape,,12,2017
2856,BELTRAMI,Robbery,1,12,2017
8473,Beltrami,Aggravated Assault,1,8,2018
8474,Beltrami,Arson,0,8,2018
8475,Beltrami,Auto Theft,0,8,2018
8476,Beltrami,Burglary,0,8,2018
8477,Beltrami,Homicide,0,8,2018
8478,Beltrami,Larceny,5,8,2018
8479,Beltrami,Rape,0,8,2018
8480,Beltrami,Robbery,0,8,2018
1441,BELTRAMI,Aggravated Assault,,10,2017
1442,BELTRAMI,Arson,,10,2017
1443,BELTRAMI,Auto Theft,1,10,2017
1444,BELTRAMI,Burglary,1,10,2017
1445,BELTRAMI,Homicide,,10,2017
1446,BELTRAMI,Larceny,3,10,2017
1447,BELTRAMI,Rape,,10,2017
1448,BELTRAMI,Robbery,2,10,2017
7065,Beltrami,Aggravated Assault,0,6,2018
7066,Beltrami,Arson,0,6,2018
7067,Beltrami,Auto Theft,1,6,2018
7068,Beltrami,Burglary,1,6,2018
7069,Beltrami,Homicide,0,6,2018
7070,Beltrami,Larceny,1,6,2018
7071,Beltrami,Rape,0,6,2018
7072,Beltrami,Robbery,1,6,2018
7769,Beltrami,Aggravated Assault,0,7,2018
7770,Beltrami,Arson,0,7,2018
7771,Beltrami,Auto Theft,0,7,2018
7772,Beltrami,Burglary,0,7,2018
7773,Beltrami,Homicide,0,7,2018
7774,Beltrami,Larceny,2,7,2018
7775,Beltrami,Rape,0,7,2018
7776,Beltrami,Robbery,0,7,2018
6369,BELTRAMI,Aggravated Assault,,5,2018
6370,BELTRAMI,Arson,,5,2018
6371,BELTRAMI,Auto Theft,,5,2018
6372,BELTRAMI,Burglary,1,5,2018
6373,BELTRAMI,Homicide,,5,2018
6374,BELTRAMI,Larceny,1,5,2018
6375,BELTRAMI,Rape,,5,2018
6376,BELTRAMI,Robbery,,5,2018
3553,BELTRAMI,Aggravated Assault,,1,2018
3554,BELTRAMI,Arson,,1,2018
3555,BELTRAMI,Auto Theft,1,1,2018
3556,BELTRAMI,Burglary,,1,2018
3557,BELTRAMI,Homicide,,1,2018
3558,BELTRAMI,Larceny,1,1,2018
3559,BELTRAMI,Rape,,1,2018
3560,BELTRAMI,Robbery,,1,2018
4257,BELTRAMI,Aggravated Assault,,2,2018
4258,BELTRAMI,Arson,,2,2018
4259,BELTRAMI,Auto Theft,,2,2018
4260,BELTRAMI,Burglary,,2,2018
4261,BELTRAMI,Homicide,,2,2018
4262,BELTRAMI,Larceny,3,2,2018
4263,BELTRAMI,Rape,,2,2018
4264,BELTRAMI,Robbery,,2,2018
4961,BELTRAMI,Aggravated Assault,3,3,2018
4962,BELTRAMI,Arson,,3,2018
4963,BELTRAMI,Auto Theft,,3,2018
4964,BELTRAMI,Burglary,,3,2018
4965,BELTRAMI,Homicide,,3,2018
4966,BELTRAMI,Larceny,5,3,2018
4967,BELTRAMI,Rape,,3,2018
4968,BELTRAMI,Robbery,,3,2018
41,BOTTINEAU,Aggravated Assault,0,8,2017
42,BOTTINEAU,Arson,0,8,2017
43,BOTTINEAU,Auto Theft,0,8,2017
44,BOTTINEAU,Burglary,0,8,2017
45,BOTTINEAU,Homicide,0,8,2017
46,BOTTINEAU,Larceny,0,8,2017
47,BOTTINEAU,Rape,0,8,2017
48,BOTTINEAU,Robbery,0,8,2017
745,BOTTINEAU,Aggravated Assault,,9,2017
746,BOTTINEAU,Arson,,9,2017
747,BOTTINEAU,Auto Theft,1,9,2017
748,BOTTINEAU,Burglary,,9,2017
749,BOTTINEAU,Homicide,,9,2017
750,BOTTINEAU,Larceny,3,9,2017
751,BOTTINEAU,Rape,1,9,2017
752,BOTTINEAU,Robbery,,9,2017
5673,BOTTINEAU,Aggravated Assault,,4,2018
5674,BOTTINEAU,Arson,,4,2018
5675,BOTTINEAU,Auto Theft,1,4,2018
5676,BOTTINEAU,Burglary,2,4,2018
5677,BOTTINEAU,Homicide,,4,2018
5678,BOTTINEAU,Larceny,3,4,2018
5679,BOTTINEAU,Rape,,4,2018
5680,BOTTINEAU,Robbery,,4,2018
2153,BOTTINEAU,Aggravated Assault,,11,2017
2154,BOTTINEAU,Arson,,11,2017
2155,BOTTINEAU,Auto Theft,3,11,2017
2156,BOTTINEAU,Burglary,5,11,2017
2157,BOTTINEAU,Homicide,,11,2017
2158,BOTTINEAU,Larceny,2,11,2017
2159,BOTTINEAU,Rape,,11,2017
2160,BOTTINEAU,Robbery,,11,2017
2857,BOTTINEAU,Aggravated Assault,,12,2017
2858,BOTTINEAU,Arson,,12,2017
2859,BOTTINEAU,Auto Theft,2,12,2017
2860,BOTTINEAU,Burglary,2,12,2017
2861,BOTTINEAU,Homicide,,12,2017
2862,BOTTINEAU,Larceny,4,12,2017
2863,BOTTINEAU,Rape,1,12,2017
2864,BOTTINEAU,Robbery,,12,2017
8481,Bottineau,Aggravated Assault,0,8,2018
8482,Bottineau,Arson,0,8,2018
8483,Bottineau,Auto Theft,2,8,2018
8484,Bottineau,Burglary,2,8,2018
8485,Bottineau,Homicide,0,8,2018
8486,Bottineau,Larceny,2,8,2018
8487,Bottineau,Rape,0,8,2018
8488,Bottineau,Robbery,0,8,2018
1449,BOTTINEAU,Aggravated Assault,,10,2017
1450,BOTTINEAU,Arson,,10,2017
1451,BOTTINEAU,Auto Theft,1,10,2017
1452,BOTTINEAU,Burglary,1,10,2017
1453,BOTTINEAU,Homicide,,10,2017
1454,BOTTINEAU,Larceny,6,10,2017
1455,BOTTINEAU,Rape,,10,2017
1456,BOTTINEAU,Robbery,,10,2017
7073,Bottineau,Aggravated Assault,1,6,2018
7074,Bottineau,Arson,0,6,2018
7075,Bottineau,Auto Theft,0,6,2018
7076,Bottineau,Burglary,0,6,2018
7077,Bottineau,Homicide,0,6,2018
7078,Bottineau,Larceny,3,6,2018
7079,Bottineau,Rape,0,6,2018
7080,Bottineau,Robbery,0,6,2018
7777,Bottineau,Aggravated Assault,2,7,2018
7778,Bottineau,Arson,0,7,2018
7779,Bottineau,Auto Theft,0,7,2018
7780,Bottineau,Burglary,0,7,2018
7781,Bottineau,Homicide,0,7,2018
7782,Bottineau,Larceny,4,7,2018
7783,Bottineau,Rape,0,7,2018
7784,Bottineau,Robbery,0,7,2018
6377,BOTTINEAU,Aggravated Assault,1,5,2018
6378,BOTTINEAU,Arson,,5,2018
6379,BOTTINEAU,Auto Theft,2,5,2018
6380,BOTTINEAU,Burglary,2,5,2018
6381,BOTTINEAU,Homicide,,5,2018
6382,BOTTINEAU,Larceny,3,5,2018
6383,BOTTINEAU,Rape,,5,2018
6384,BOTTINEAU,Robbery,,5,2018
3561,BOTTINEAU,Aggravated Assault,1,1,2018
3562,BOTTINEAU,Arson,,1,2018
3563,BOTTINEAU,Auto Theft,1,1,2018
3564,BOTTINEAU,Burglary,1,1,2018
3565,BOTTINEAU,Homicide,,1,2018
3566,BOTTINEAU,Larceny,2,1,2018
3567,BOTTINEAU,Rape,,1,2018
3568,BOTTINEAU,Robbery,3,1,2018
4265,BOTTINEAU,Aggravated Assault,,2,2018
4266,BOTTINEAU,Arson,,2,2018
4267,BOTTINEAU,Auto Theft,2,2,2018
4268,BOTTINEAU,Burglary,1,2,2018
4269,BOTTINEAU,Homicide,,2,2018
4270,BOTTINEAU,Larceny,1,2,2018
4271,BOTTINEAU,Rape,,2,2018
4272,BOTTINEAU,Robbery,1,2,2018
4969,BOTTINEAU,Aggravated Assault,1,3,2018
4970,BOTTINEAU,Arson,,3,2018
4971,BOTTINEAU,Auto Theft,,3,2018
