neighborhood,value
Payne-Phalen,3368
Union Park,1682
Summit-University,2141
West 7th Federation/Fort Road,1648
Macalester-Groveland,1218
West Side Community Organization,2845
Dayton's Bluff,1881
Thomas-Dale(Frogtown),2455
CapitolRiver Council,5866
Hamline-Midway,1915
Como,1319
North End,3064
Summit Hill Association,931
Highland,2026
St Anthony Park,1067
Eastview-Conway-Battle Creek-Highwood Hills,1287
The Greater East Side,1722
